,0
https://www.tula.com/products/purifying-cleanser,"Aqua/Water/Eau, Disodium Laureth Sulfosuccinate, Sodium Hydroxypropylsulfonate Laurylglucoside Crosspolymer, Lauryl Glucoside, Sodium Lauryl Sulfoacetate, Sodium Chloride, Disteareth-75 IPDI, Bifida Ferment Lysate, Hydrolyzed Rice Protein, Curcuma Longa (Turmeric) Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Cichorium Intybus (Chicory) Root Extract, Camelina Sativa Seed Oil, Lactose, Lactis proteinum/Milk Protein/Protéine du lait, Yogurt Powder, Olus Oil/Vegetable Oil/Huile végétale, Tocopheryl Acetate, Ascorbyl Palmitate, Panthenol, Carthamus Tinctorius (Safflower) Seed Oil, Polysorbate 20, Butylene Glycol, Inulin, Pentylene Glycol, Caprylyl Glycol, Coco-Glucoside, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ethylhexylglycerin, PEG-120 Methyl Glucose Dioleate, Styrene/Acrylates Copolymer, Sorbitan Isostearate, Trisodium Ethylenediamine Disuccinate, Glutaral, Glycerin, Citric Acid, Sodium Hydroxide, Sorbic Acid, Phenoxyethanol, Benzoic Acid, Phenethyl Alcohol, Fragrance (Parfum), Alpha-Isomethyl Ionone, Benzyl Benzoate, Citronellol, Hexyl Cinnamal, Limonene, Linalool"
https://www.tula.com/products/hydrating-day-night-cream,"Aqua/Water/Eau, Butylene Glycol, Ethylhexyl Palmitate, Squalane, Glycerin, Cetyl Alcohol, Caprylic/Capric Triglyceride, Dimethicone, Hydrogenated Vegetable Oil, Glyceryl Stearate, PEG 100 Stearate, Bifida Ferment Lysate, Lactose, Lactis Proteinum/Milk Protein/Protéine du lait, Yogurt Extract, Hydrolyzed Rice Protein, Cichorium Intybus (Chicory) Root Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Olus/Vegetable Oil/Huile végétale, Camelina Sativa Seed Oil, Camellia Sinensis Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Tocopheryl Acetate, Ascorbyl Palmitate, Carthamus Tinctorius (Safflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Pyrus Malus (Apple) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Sodium Lactate, Sodium PCA, Carbomer, Sodium Hydroxide, Pentylene Glycol, Caprylyl Glycol, Bulnesia Sarmientoi Wood Oil, Citrus Limon (Lemon) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Juniperus Mexicana Oil, Cananga Odorata Flower Oil, Ethylhexylglycerin, Stearyl Alcohol, Disodium EDTA, Citric Acid, Sorbic Acid, Phenethyl Alcohol, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Parfum/Fragrance, Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Linalool, Hexyl Cinnamal"
https://www.tula.com/products/glow-get-it-cooling-brightening-eye-balm,"*Does not contain live cultures.


Aqua/Water/Eau, Propanediol, Aloe Barbadensis Leaf Juice, Sodium Stearate, Xylitol, Lactococcus Ferment Lysate, Synthetic Fluorphlogopite, Oleth-20, Glycerin, Caffeine, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Hyaluronic Acid, Vaccinium Angustifolium (Blueberry) Fruit Extract) Lactic Acid, Tocopherol, Sodium PCA, Diphenyl Succinate, Menthone Glycerin Acetal, Menthyl Lactate, Capryloyl Glycerin/Sebacic Acid Copolymer, Xanthan Gum, Sodium Lactate, Tin Oxide, Sodium Chloride, Ethylhexylglycerin, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Titanium Dioxide (CI 77891), Blue 1 (CI 42090), Yellow 5 (CI 19140)"
https://www.tula.com/products/ultra-hydrating-day-night-cream,"* Does not contain live cultures

WATER (AQUA), BUTYROSPERMUM PARKII (SHEA) BUTTER, PROPANEDIOL, GLYCERIN, DICAPRYLYL CARBONATE, JOJOBA ESTERS, CAMELLIA JAPONICA SEED OIL, LACTOCOCCUS FERMENT LYSATE, GLYCERYL STEARATE, CETEARYL ALCOHOL, AMMONIUM ACRYLOYLDIMETHYLTAURATE/BEHENETH-25 METHACRYLATE CROSSPOLYMER, MYRISTYL MYRISTATE, SQUALANE, POLYACRYLATE CROSSPOLYMER-6, HYALURONIC ACID, COLLAGEN, HIPPOPHAE RHAMNOIDES OIL, ARGANIA SPINOSA KERNEL OIL, LINOLEIC ACID, LINOLENIC ACID, HYDROLYZED RICE PROTEIN, LACTOBACILLUS, LACTOBACILLUS FERMENT, CICHORIUM INTYBUS (CHICORY) ROOT EXTRACT, CITRULLUS LANATUS (WATERMELON) FRUIT EXTRACT, PYRUS MALUS (APPLE) FRUIT EXTRACT, CURCUMA LONGA (TURMERIC) ROOT EXTRACT, LACTIC ACID, VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT, BETA VULGARIS (BEET) ROOT EXTRACT, TOCOPHERYL ACETATE, INULIN, POLYMNIA SONCHIFOLIA ROOT JUICE, ALPHA-GLUCAN OLIGOSACCHARIDE, ASCORBYL PALMITATE, LENS ESCULENTA (LENTIL) FRUIT EXTRACT, SODIUM PCA, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, BUTYLENE GLYCOL, CANDELILLA/JOJOBA/RICE BRAN POLYGLYCERYL-3 ESTERS, CAPRYLYL GLYCOL, CETEARYL OLIVATE, MALTODEXTRIN, PENTYLENE GLYCOL, POTASSIUM SORBATE, SODIUM BENZOATE, SODIUM CHLORIDE, SODIUM PHYTATE, POLYSORBATE 60, SODIUM STEAROYL LACTYLATE, FRAGRANCE (PARFUM), SORBITAN OLIVATE, HYDROXYACETOPHENONE, SODIUM LACTATE, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, TOCOPHEROL, XANTHAN GUM, 1,2-HEXANEDIOL, GERANIOL, LINALOOL"
https://www.tula.com/products/rose-glow-get-it-cooling-brightening-eye-balm,"* Does not contain live cultures

Aqua/Water/Eau, Propanediol, Aloe Barbadensis Leaf Juice, Sodium Stearate, Xylitol, Lactococcus Ferment Lysate, Synthetic Fluorphlogopite, Oleth-20, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Lens Esculenta (Lentil) Fruit Extract, Caffeine, Pyrus Malus (Apple) Fruit Extract, Lactic Acid, Hyaluronic Acid, Rosa Canina Fruit Oil, Rosa Centifolia Flower Water, Vaccinium Angustifolium (Blueberry) Fruit Extract, Sodium Lactate, Diheptyl Succinate, Sodium PCA, Menthone Glycerin Acetal, Menthyl Lactate, Capryloyl Glycerin/Sebacic Acid Copolymer, Xanthan Gum, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Sodium Chloride, Citric Acid, Phenoxyethanol,Tocopherol, Yellow 5 (CI 19140), Carmine (CI 75470), Titanium Dioxide (CI 77891), Tin Oxide (CI 77861), Mica (CI 77019)"
https://www.tula.com/products/daily-sunscreen-gel-broad-spectrum-spf-30,"* Does not contain live cultures.

Active Ingredients: Avobenzone 3%, Homosalate 10%, Octisalate 5%

Inactive Ingredients: Aqua/Water/Eau, Butyloctyl Salicylate, Pentylene Glycol, Lactococcus Ferment Lysate, 1,2-Hexanediol, Silica, Ectoin, Glycerin, Arginine, Hydroxyectoin, Ananas Sativus (Pineapple) Fruit Extract, Carica Papaya (Papaya) Fruit Extract, Lactic Acid, Camellia Sinensis Leaf Extract, Hedychium Coronarium Root Extract, Triethyl Citrate, Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Limon (Lemon) Peel Extract, Pyrus Communis (Pear) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vanilla Planifolia Fruit Extract, Pimpinella Anisum Fruit Extract, Mica, Tocopherol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Synthetic Fluorphlogopite, Hydrolyzed Wheat Protein/PVP Crosspolymer, Carbomer, Dibutyl Lauroyl Glutamide, Dibutyl Ethylhexanoyl Glutamide, Propanediol, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Sodium Benzoate, Ethylhexylglycerin, Tin Oxide, Phenoxyethanol

May Contain: Titanium Dioxide (CI 77891)"
https://www.tula.com/products/radiant-skin-brightening-serum-skin-tint-spf-30,"Inactive Ingredients: Aqua/water/eau, C9-12 Alkane, Butyloctyl Salicylate, Caprylic/capric Triglyceride, Ethylhexyl Palmitate, Triethylhexanoin, Polyglyceryl-6 Polyhydroxystearate, Polyglyceryl-6 Polyricinoleate, Isododecane, Silica, Butylene Glycol, Disteardimonium Hectorite, Trimethylsiloxysilicate, Vp/eicosene Copolymer, Glycerin, Argania Spinosa Kernel Oil, Tocopheryl Acetate, Lactococcus Ferment Lysate, Lactobacillus Ferment, Lactobacillus, Kappaphycus Alvarezii Extract, Tetrahexyldecyl Ascorbate, Niacinamide, Sodium Hyaluronate, Ceramide Np, Pongamia Glabra Seed Oil, Dunaliella Salina Extract, Haematococcus Pluvialis Extract, Acacia Seyal Gum Extract, Caesalpinia Spinosa Fruit Extract, Alpha-glucan Oligosaccharide, Bisabolol, Beta Vulgaris (beet) Root Extract, Cystoseira Tamariscifolia Extract, Inulin, Lactic Acid, Polymnia Sonchifolia Root Juice, Curcuma Longa (turmeric) Root Extract, Vp/hexadecene Copolymer, Octyldodecyl Neopentanoate, Sodium Chloride, Magnesium Sulfate, Boron Nitride, Sorbitan Oleate, Polyglycerin-6, Octyldodecanol, Safflower Oil/ Palm Oil Aminopropanediol Esters, Mica, Hydrogenated Lecithin, Ascorbyl Palmitate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Simethicone, Tocopherol, Maltodextrin, Ethylhexylglycerin, Aluminum Hydroxide, Citric Acid, 1,2-hexanediol, Caprylyl Glycol, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate</p>
<p>May Contain: Titanium Dioxide (ci 77891), Iron Oxides (ci 77492), Iron Oxides (ci 77491), Iron Oxides (ci 77499)</p>
<p>Shades 29- 30"
https://www.tula.com/products/ultra-hydration-serum,"water (aqua), dipentaerythrityl hexacaprylate/hexacaprate, pentaerythrityl tetraisostearate, isononyl isononanoate, propanediol, glycerin, caprylic/capric triglyceride, sodium hyaluronate, hydrolyzed hyaluronic acid,  sodium hyaluronate crosspolymer, hydrolyzed sodium hyaluronate, sodium acetylated hyaluronate, sodium polyglutamate, squalane, collagen, lactococcus ferment lysate, lactobacillus ferment,  lactobacillus, beta vulgaris (beet) root extract, curcuma longa (turmeric) root extract,  pyrus malus (apple) fruit extract, citrullus lanatus (watermelon) fruit extract, vaccinium angustifolium (blueberry) fruit extract,  lens esculenta (lentil) fruit extract, hydrolyzed rice protein, inulin, alpha-glucan oligosaccharide, lactic acid, sodium pca, hydrogenated poly(c6-20 olefin), hydroxyacetophenone, leuconostoc/radish root ferment filtrate, polymnia sonchifolia root juice, rhus verniciflua peel wax, caprylyl glycol, sodium lactate, carrageenan, pentylene glycol, maltodextrin, butylene glycol, sodium chloride, ethylhexylglycerin, 1,2-hexanediol, acrylates/c10-30 alkyl acrylate crosspolymer, tromethamine, hdi/trimethylol hexyllactone crosspolymer, sodium benzoate, potassium sorbate."
https://www.tula.com/products/holiday-sugar-scrub-kit,"<b>SO CHOCOLATE PEPPERMINT:</b>Sucrose, Propylene Glycol Dicaprylate/Dicaprate, PEG-7 Glyceryl Cocoate, Octyldodecanol, Candelilla Cera/ Euphorbia Cerifera (Candelilla) Wax/ Cire de candelilla, Fragrance (Parfum), Disteardimonium Hectorite, Mangifera Indica (Mango) Seed Butter, Theobroma Cacao (Cocoa) seed Extract, Lactococcus Ferment Lysate, Lactobacillus, Lactobacillus Ferment, Alpha-Glucan Oligosaccharide, Bromelain, Papain, Lactic Acid, Beta Vulgaris (Beet) Root Extract, Curcuma Longa (Turmeric) Root Extract, Inulin, Polymnia Sonchifolia Root Juice, Aqua/Water/Eau, Maltodextrin, Propylene Carbonate, Tocopheryl Acetate, Butylene Glycol, Sodium Chloride, 1,2-Hexanediol, Phenoxyethanol, Sodium Benzoate"
https://www.tula.com/products/holiday-sugar-scrubs,"<b>SO CHOCOLATE PEPPERMINT:</b>Sucrose, Propylene Glycol Dicaprylate/Dicaprate, PEG-7 Glyceryl Cocoate, Octyldodecanol, Candelilla Cera/ Euphorbia Cerifera (Candelilla) Wax/ Cire de candelilla, Fragrance (Parfum), Disteardimonium Hectorite, Mangifera Indica (Mango) Seed Butter, Theobroma Cacao (Cocoa) seed Extract, Lactococcus Ferment Lysate, Lactobacillus, Lactobacillus Ferment, Alpha-Glucan Oligosaccharide, Bromelain, Papain, Lactic Acid, Beta Vulgaris (Beet) Root Extract, Curcuma Longa (Turmeric) Root Extract, Inulin, Polymnia Sonchifolia Root Juice, Aqua/Water/Eau, Maltodextrin, Propylene Carbonate, Tocopheryl Acetate, Butylene Glycol, Sodium Chloride, 1,2-Hexanediol, Phenoxyethanol, Sodium Benzoate"
